Processing: C:\learnova_app\textbooks\F5 Sejarah 2.pdf
Subject: MY-Sejarah  Form: 5  Pages: 3-145 of 145
------------------------------------------------------------
  p  3/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | 6.1 Cabaran Dalaman Malaysia
  p  4/145  SAVED  Bab 1: Pembentukan Malaysia | Cabaran Pembangunan dan Sosioekonomi di Sarawak dan Sabah
  p  5/145  SAVED  Bab 1: Cabaran Malaysia untuk Mengekalkan Kedaulatan Negara | Cabaran Politik di Sarawak
  p  6/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | 6.2 Pemisahan Singapura
  p  7/145  SAVED  Bab 6: Pemisahan Singapura daripada Malaysia | 
  p  8/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | 6.3 Menangani Ancaman Komunis
  p  9/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | Ancaman Komunis di Sarawak
  p 10/145  SAVED  Bab 6: Langkah Membanteras Ancaman Komunis | Operasi Menentang Komunis di Sarawak
  p 11/145  SAVED  Bab 6 | Ancaman Keselamatan di Semenanjung Malaysia
  p 12/145  SAVED  Bab 6: Memerangi Komunis | Pengeboman Tugu Negara dan Usaha Mengatasi Ancaman Komunis
  p 13/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | 6.4 Isu Pembangunan dan Ekonomi
  p 14/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | Rancangan Malaysia Pertama
  p 15/145  SAVED  Bab 6: Singapura menuntut pembukaan pasaran | 
  p 16/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | 6.5 Tragedi Hubungan antara Kaum
  p 17/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | Majlis Gerakan Negara (MAGERAN)
  p 18/145  SAVED  Bab 6: Rusuhan Kaum dan Usaha Pemulihan | C. Peranan Raja
  p 19/145  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | 
  p 20/145  SKIP  Halaman hanya mengandungi arahan aktiviti pembelajaran (Meja Bulat Serentak) dan soalan tanpa petikan laporan atau kandungan sejarah yang boleh diajar. Tiada fakta, tokoh, tarikh, atau peristiwa penting untuk disusun sebagai unit pengajaran.
  p 21/145  SAVED  Bab 6: Petikan Laporan Kertas Putih Tragedi 13 Mei 1969 | Pemisahan Singapura daripada Malaysia
  p 22/145  SKIP  Halaman mengandungi soalan latihan, bukan kandungan pengajaran.
  p 23/145  SAVED  Bab 5: Pembinaan Negara dan Bangsa Malaysia | 
  p 24/145  SKIP  Halaman ini mengandungi refleksi nilai dan patriotisme, bukan kandungan sejarah yang boleh diajar seperti fakta, peristiwa, atau tokoh.
  p 25/145  SAVED  Bab 7: Membina Kesejahteraan Negara | 
  p 26/145  SAVED  Bab 7: MEMBINA KESEJAHTERAAN | Inti Pati Pembelajaran
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Sejarah, 5, Bab 7: MEMBINA KESEJAHTERAAN, Perpaduan dan Integrasi Nasional) already exists.","hint":null,"message":"duplicate k
  p 27/145  DB-ERR  Bab 7: MEMBINA KESEJAHTERAAN | 7.1 Perpaduan dan Integrasi Nasional
  p 28/145  SAVED  Bab 7: Sistem Pendidikan dan Fahaman Politik | Latar Belakang Hubungan Kaum
  p 29/145  SAVED  Bab 7: Sistem Pendidikan dan Fahaman Politik | Memperkasakan Perpaduan dan Integrasi Nasional
  p 30/145  SAVED  Bab 7: Sistem Pendidikan dan Fahaman Politik | Usaha Memupuk Perpaduan Kaum Melalui Ekonomi dan Sosial
  p 31/145  SAVED  Bab 7: Sistem Pendidikan dan Fahaman Politik | 7.2 Dasar Pendidikan Kebangsaan
  p 32/145  SAVED  Bab 7: Sistem Pendidikan dan Fahaman Politik | Laporan Rahman Talib dan Kajian Aminuddin Baki
  p 33/145  SAVED  Bab 7: Sistem Pendidikan Fahaman Politik | Laporan Jawatankuasa Kabinet 1974 dan Pembaharuan Kurikulum
  p 34/145  SAVED  Bab 7: Sistem Pendidikan Fahaman Politik | Akta Pendidikan 1996
  p 35/145  SAVED  Bab 7: Sistem Pendidikan Fahaman Politik | 7.3 Bahasa Melayu sebagai Bahasa Ilmu dan Bahasa Perpaduan
  p 36/145  SAVED  Bab 7: Sistem Pendidikan dan Fahaman Politik | Peranan UKM dan DBP dalam Memartabatkan Bahasa Melayu
  p 37/145  SAVED  Bab 7: Sistem Pendidikan | 7.4 Dasar Kebudayaan Kebangsaan
  p 38/145  SAVED  Bab 7: Dasar Kebudayaan Kebangsaan | Matlamat dan Pelaksanaan Dasar Kebudayaan Kebangsaan
  p 39/145  SAVED  Bab 7: Sistem Pendidikan Fahaman Politik | 7.5 Sukan sebagai Alat Perpaduan
  p 40/145  SAVED  Bab 7: Malaysia Menganjurkan Sukan Permotoran Formula 1 | Penganjuran Sukan dan Perpaduan Nasional
  p 41/145  SAVED  Bab 7: Malaysia Menganjurkan Sukan Permotoran Formula 1 | Kejayaan Malaysia dalam Sukan Antarabangsa
  p 42/145  SAVED  Bab 7: Malaysia menganjurkan Sukan Permotoran Formula 1 | Laungan 'Malaysia Boleh' dan Peranan Organisasi dalam Perkembangan Sukan serta Memupuk Perpaduan Kaum
