Processing: C:\Users\Yong\Downloads\Learnova Malaysia\Form 4\KSSM_2019_DP_DLP_BIOLOGY_FORM_4_PART_1.pdf
Subject: MY-Biology  Form: 4  Pages: 8-130 of 130
------------------------------------------------------------
  p  8/130  SKIP  Page contains only chapter overview and guiding questions, no substantive biology content to teach.
  p  9/130  SAVED  Bab 1: Pengenalan kepada Biologi | 1.1 Fields and Careers in Biology
  p 10/130  SAVED  Bab 1: Introduction to Biology | 1.1 What is Biology?
  p 11/130  SAVED  Bab 1: Pengenalan kepada Biologi | The contribution of biology in everyday life
  p 12/130  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | Safety and Rules in Biology Laboratory
  p 13/130  SAVED  Bab 1: Pengenalan kepada Biologi | 
  p 14/130  SAVED  Bab 1: Pengenalan kepada Biologi | Kaedah Pengurusan Sisa Biologi
  p 15/130  SAVED  Bab 1: Pengenalan kepada Biologi | Amalan Keselamatan di Makmal
  p 16/130  SAVED  Bab 1: Introduction to Biology and Laboratory Safety | 1.2 Safety in the Laboratory
  p 17/130  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | 1.3 Communicating in Biology
  p 18/130  SAVED  Bab 1: Introduction to Biology and Scientific Investigation | Presenting Data and Biological Drawings
  p 19/130  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | Biological Drawings and Anatomical Planes
  p 20/130  SAVED  Bab 1: Pengenalan kepada Biologi | 1.3.4 Arah dalam Biologi
  p 21/130  SAVED  Bab 1: Scientific Investigation | 1.4 Scientific Investigation
  p 22/130  SAVED  Bab 1: Pengenalan kepada Biologi dan Peraturan Makmal | 
  p 23/130  SKIP  This page is a summary and self-reflection for Chapter 1, not new teachable content.
  p 24/130  SKIP  The page contains only summative practice questions and no new explanatory content. It is an assessment page, not a teaching unit.
  p 25/130  SKIP  The page contains only essay and enrichment questions (laboratory safety, experiment planning) with no new biology content or concept explanation.
  p 26/130  SKIP  Chapter opener page with only learning objectives and questions, no actual biology content.
  p 27/130  SKIP  Page contains only learning objectives and subtopic headings, no teachable content.
  p 28/130  SAVED  Bab 1: Cell Structure and Function | 2.1 Cell Structure and Function
  p 29/130  SAVED  Bab 1 | 
  p 30/130  SAVED  Bab 2: Biologi Sel dan Organisasi Sel | Komponen Sel Haiwan dan Tumbuhan serta Fungsinya
