Processing: C:\learnova_app\textbooks\F5 Maths.pdf
Subject: MY-Mathematics  Form: 5  Pages: 11-276 of 276
------------------------------------------------------------
  p 11/276  SAVED  Bab 1: Ubah (Variation) | 
  p 12/276  SAVED  Bab 1: Ubahan | 1.1 Ubahan Langsung
  p 13/276  SAVED  Bab 1: Ubahan | Ubahan Langsung
  p 14/276  SAVED  Bab 1: Ubahan | Ubahan Langsung
  p 15/276  SAVED  Bab 1: Ubahan | Ubahan Langsung
  p 16/276  SAVED  Bab 1: Ubahan | Ubahan Langsung
  p 17/276  SAVED  Bab 1: Ubahan | 
  p 18/276  SAVED  Bab 1: Ubahan | Variasi Langsung
  p 19/276  SAVED  Bab 1: Ubahan | Ubahan Langsung
  p 20/276  SAVED  Bab 1: Ubahan | Latih Kendiri 1.1b
  p 21/276  SAVED  Bab 1: Ubahan | Ubahan Tercantum
  p 22/276  SAVED  Bab 1: Ubahan | Ubahan Tercantum
  p 23/276  SAVED  Bab 1: Ubahan | 
  p 24/276  SAVED  Bab 1: Ubahan | Latih Kendiri 1.1c
  p 25/276  SAVED  Bab 1: Ubahan | Bagaimanakah menyelesaikan masalah yang melibatkan ubahan langsung?
  p 26/276  SAVED  Bab 1: Ubahan | Ubahan Langsung
  p 27/276  SAVED  Bab 1: Ubahan | 1.2 Ubahan Songsang
  p 28/276  SAVED  Bab 1: Ubahan | Ubahan Songsang
  p 29/276  SAVED  Bab 1: Ubahan | Hubungan antara dua pemboleh ubah bagi suatu ubahan songsang
  p 30/276  SAVED  Bab 1: Ubahan | Ubalan Songsang
  p 31/276  SAVED  Bab 1: Ubahan | Ubahan Songsang
  p 32/276  SAVED  Bab 1: Ubahan | Ubahan Songsang
  p 33/276  SAVED  Bab 1: Ubahan | Ubahan Songsang
  p 34/276  SAVED  Bab 1: Ubahan | 
  p 35/276  SAVED  Bab 1: Ubahan | 1.2 Ubahan Songsang
  p 36/276  SAVED  Bab 1: Ubahan | 1.3 Ubahan Bergabung
  p 37/276  SAVED  Bab 1: Ubahan | Ubahan Bergabung
  p 38/276  SAVED  Bab 1: Ubahan | 
  p 39/276  SAVED  Bab 1: Ubahan | 1.3 Gabungan Ubahan
  p 40/276  SAVED  Bab 1: Ubahan | Arena Rumusan
  p 41/276  SKIP  Page is a chapter introduction with learning objectives and a project description, but no specific mathematical content or concept to teach.
  p 42/276  SKIP  Page contains only exercise questions without concept introduction or worked example.
  p 43/276  SAVED  Bab 1: Ubahan | 
  p 44/276  SKIP  Chapter opener page with no specific teaching content (only introduction, objectives, and glossary).
  p 45/276  SKIP  Page contains general discussion about Big Data and internet usage, not teachable mathematics content for Bab 1: Ubahan.
  p 46/276  SAVED  Bab 2: Matriks | 2.1 Matriks
  p 47/276  SAVED  Bab 2: Matriks | 
  p 48/276  SAVED  Bab 2: Matriks | Mewakilkan maklumat dalam bentuk matriks dan menentukan peringkat matriks
  p 49/276  SAVED  Bab 2: Matriks | 
  p 50/276  SAVED  Bab 2: Matriks | Kesamaan Matriks
  p 51/276  SAVED  Bab 2: Matriks | Kesamaan Matriks
  p 52/276  SAVED  Bab 2: Matriks | 2.2 Operasi Asas Matriks
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 2: Matriks, Penambahan dan Penolakan Matriks) already exists.","hint":null,"message":"duplicate key value v
  p 53/276  DB-ERR  Bab 2: Matriks | Penambahan dan Penolakan Matriks
  p 54/276  SAVED  Bab 2: Matriks | Penambahan Matriks dan Persamaan Matriks
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 2: Matriks, Penambahan dan Penolakan Matriks) already exists.","hint":null,"message":"duplicate key value v
  p 55/276  DB-ERR  Bab 2: Matriks | 
  p 56/276  SAVED  Bab 2: Matriks | Mendarab matriks dengan suatu nombor
  p 57/276  SAVED  Bab 2: Matriks | Hukum Operasi Aritmetik dalam Penambahan dan Penolakan Matriks
  p 58/276  SAVED  Bab 3: Matriks | Operasi Asas Matriks
  p 59/276  SAVED  Bab 2: Matriks | Latih Kendiri 2.2b
  p 60/276  SAVED  Bab 2: Matriks | Mendarab Dua Matriks
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 2: Matriks, Pendaraban Dua Matriks) already exists.","hint":null,"message":"duplicate key value violates un
  p 61/276  DB-ERR  Bab 2: Matriks | Pendaraban Matriks
  p 62/276  SAVED  Bab 2: Matriks | Pendaraban Matriks
  p 63/276  SAVED  Bab 2: Matriks | Aplikasi Pendaraban Matriks
  p 64/276  SAVED  Bab 2: Matriks | Pendaraban Matriks
  p 65/276  SAVED  Bab 2: Matriks | Ciri-ciri Matriks Identiti
  p 66/276  SAVED  Bab 1: Matriks | Matriks Identiti
  p 67/276  SAVED  Bab 2: Matriks | Matriks Songsang
  p 68/276  SAVED  Bab 2: Matriks | Matriks Songsang
  p 69/276  SAVED  Bab 2: Matriks | Matriks Songsang
  p 70/276  SAVED  Bab 2: Matriks | Matriks Songsang
  p 71/276  SAVED  Bab 2: Matriks | Matriks Songsang
  p 72/276  SAVED  Bab 5: Matriks | 2.2f Matriks Songsang dan Persamaan Linear Serentak
  p 73/276  SAVED  Bab 2: Matriks | 
  p 74/276  SAVED  Bab 2: Matriks | Menyelesaikan masalah yang melibatkan matriks
  p 75/276  SAVED  Bab 2: Matriks | Penyelesaian Persamaan Linear Serentak dengan Kaedah Matriks
