Processing: C:\learnova_app\textbooks\F5 Chemistry.pdf
Subject: MY-Chemistry  Form: 5  Pages: 11-212 of 212
------------------------------------------------------------
  p 11/212  SAVED  Bab 1: Keseimbangan Redoks | Agen Pengoksidaan dan Agen Penurunan
  p 12/212  SAVED  Bab 1: Proses Kimia | 1.1 Pengoksidaan dan Penurunan
  p 13/212  SAVED  Bab 1: Pengoksidaan | Pengoksidaan dan Penurunan (Oksigen dan Hidrogen)
  p 14/212  SAVED  Bab 1: Pengoksidaan | Pengoksidaan dan Penurunan dari Segi Hidrogen
  p 15/212  SAVED  Bab 1: Keseimbangan Redoks | Konsep Pemindahan Elektron
  p 16/212  SAVED  Bab 1: Redoks Keseimbangan | Eksperimen Pemindahan Elektron pada Suatu Jarak
  p 17/212  SAVED  Bab 1: Keseimbangan Redoks | Keseimbangan Redoks
  p 18/212  SAVED  Bab 1: Larutan ferum(II) sulfat, FeSO4 | Agen Pengoksidaan dan Agen Penurunan
  p 19/212  SAVED  Bab 1: Pengoksidaan dan Penurunan dari Segi Perubahan Nombor Pengoksidaan | Pengoksidaan dan Penurunan dari Segi Perubahan Nombor Pengoksidaan
  p 20/212  SAVED  Bab 1: Pengoksidaan dan Penurunan dari Segi Perubahan Nombor Pengoksidaan | Penentuan Nombor Pengoksidaan
  p 21/212  SAVED  Bab 1: Nombor Pengoksidaan | Penentuan Nombor Pengoksidaan
  p 22/212  SAVED  Bab 1: Nombor Pengoksidaan | Nombor Pengoksidaan dan Penamaan Sebatian Mengikut Sistem Penamaan IUPAC
  p 23/212  SAVED  Bab 1: Keseimbangan Redoks | Pertukaran Ion ferum(II), Fe2+ kepada Ion ferum(III), Fe3+ dan Sebaliknya
  p 24/212  SAVED  Bab 1: Pertukaran Ion ferum(II), Fe2+ kepada Ion ferum(III), Fe3+ dan sebaliknya | Pertukaran Ion Ferum(II) kepada Ferum(III)
  p 25/212  SAVED  Bab 1: Keseimbangan Redoks | Siri Elektrokimia dan Keelektropositifan
  p 26/212  SAVED  Bab 1: Setengah persamaan, persamaan ion dan persamaan kimia bagi tindak balas redoks | Tindak Balas Penyesaran Halogen daripada Larutan Halidanya
  p 27/212  SAVED  Bab 1: Keseimbangan Redoks | 
  p 28/212  SAVED  Bab 1: Pemerhatian Inferens | Aktiviti Makmal 1D: Penyesaran Halogen daripada Larutan Halidanya
  p 29/212  SAVED  Bab 1: Keseimbangan Redoks | Tindak Balas Penyesaran Halogen
  p 30/212  SAVED  Bab 1: Proses Kimia | 1.2 Keupayaan Elektrod Piawai
  p 31/212  SAVED  Bab 1: Keseimbangan Redoks | Nilai Keupayaan Elektrod Piawai, E0
  p 32/212  SAVED  Bab 1: Keseimbangan Redoks | Agen Pengoksidaan dan Agen Penurunan Berdasarkan Nilai Keupayaan Elektrod Piawai
  p 33/212  SAVED  Bab 1: Keseimbangan Redoks | 
  p 34/212  SAVED  Bab 1: Keseimbangan Redoks | 1.2 Siri Elektrokimia
  p 35/212  SAVED  Bab 1: Keseimbangan Redoks | 1.3 Sel Kimia
  p 36/212  SAVED  Bab 1: 1.3 SEL KIMIA | Sel Daniell
  p 37/212  SAVED  Bab 1: Keseimbangan Redoks | Notasi Sel dan Penentuan Voltan Sel
  p 38/212  SAVED  Bab 1: Notasi sel bagi sel Daniell | Sel Kimia dan Notasi Sel
  p 39/212  SAVED  Bab 1: Keseimbangan Redoks | 1.4 Sel Elektrolisis
  p 40/212  SAVED  Bab 1: 1.4 SEL ELEKTROLISIS | Elektrolit dan Bukan Elektrolit
  p 41/212  SAVED  Bab 1: Keseimbangan Redoks | Elektrolit dan Bukan Elektrolit
